text,img,aspect,label
RT @ Swiftwriting : Taylor looking absolutely flawless at the BBC Teen Awards .,37498.jpg,Taylor,2
RT @ Swiftwriting : Taylor looking absolutely flawless at the BBC Teen Awards .,37498.jpg,BBC Teen Awards,1
@ Louis Garneau Join I Am Able : a handicap cycling team that originated in Rwanda .,446463.jpg,Rwanda,1
RT @ NATO : North Atlantic Council appoints @ jensstoltenberg as # NATO SG as of October 1st 2014,68397.jpg,North Atlantic Council,1
RT @ NATO : North Atlantic Council appoints @ jensstoltenberg as # NATO SG as of October 1st 2014,68397.jpg,# NATO,1
RT @ htmgarcia : Drones are banned in # Hiroshima Peace Memorial Park - I expected this could be a gossip # Japan,617578.jpg,# Hiroshima Peace Memorial Park,0
RT @ htmgarcia : Drones are banned in # Hiroshima Peace Memorial Park - I expected this could be a gossip # Japan,617578.jpg,# Japan,1
Results from @ IronTrac for Christine Allen @ # Ironman # Raleigh 70 . 3 2014,638357.jpg,Christine Allen,1
Results from @ IronTrac for Christine Allen @ # Ironman # Raleigh 70 . 3 2014,638357.jpg,# Raleigh,1
# TBT 2 months ago today this pic was taken during # Sochi2014 final . What was @ SledSweeney13 saying to Tyler Carron ?,701488.jpg,Tyler Carron,1
Check out the summer issue of @ familytraveller they give you the best tips for a family to discover Marrakech in 48h !,1326656.jpg,Marrakech,2
RT @ HistoryPixs : Angelina Jolie when she was only 16 years old .,1953977.jpg,Angelina Jolie,1
"RT @ WildWiseDevon : In the spring , at the end of the day , you should smell like dirt . Margaret Atwood",521612.jpg,Margaret Atwood,1
RT @ MrFox13 : Defo need to go here with the boys,1336838.jpg,Defo,1
"Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and Olympic rings in the background )",1109405.jpg,Hermitage Warf,1
"Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and Olympic rings in the background )",1109405.jpg,Tower Bridge,1
"Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and Olympic rings in the background )",1109405.jpg,Tower,1
"Swan upping : first stop Hermitage Warf , Tower Bridge ( Tower and Olympic rings in the background )",1109405.jpg,Olympic,1
This passes for snow in DC # blackhawks # winterclassic,72008.jpg,DC,1
This passes for snow in DC # blackhawks # winterclassic,72008.jpg,# blackhawks,1
RT @ thinkprogress : Sandra Bland and the invisible plight of black women in the justice system,570930.jpg,Sandra Bland,1
RT @ LadyGagaNowNet : Lady Gaga getting a drink at the bar at The Oscars 2014 .,1472725.jpg,Lady Gaga,1
RT @ LadyGagaNowNet : Lady Gaga getting a drink at the bar at The Oscars 2014 .,1472725.jpg,the,1
RT @ LadyGagaNowNet : Lady Gaga getting a drink at the bar at The Oscars 2014 .,1472725.jpg,The Oscars,1
"@ BetterCallSaul : Happy birthday , Vince Gilligan ! Happy birthday , master !",34793.jpg,Vince Gilligan,2
Moesgaard Museum and SDU Campus Kolding have been awarded The International Architecture Award,1075863.jpg,Moesgaard Museum,2
Moesgaard Museum and SDU Campus Kolding have been awarded The International Architecture Award,1075863.jpg,SDU Campus Kolding,2
Moesgaard Museum and SDU Campus Kolding have been awarded The International Architecture Award,1075863.jpg,The International Architecture Award,1
RT @ AnimalsAsia : Special Report : Dog meat wars : 5 stories that shocked Vietnam,1027114.jpg,Vietnam,1
RT @ Steve OS : DeAndre Jordan Achievement Unlocked,21311.jpg,DeAndre Jordan,2
"BREAKING NEWS : Wolfsburg youngster Junior Malanda has died in a car accident , according to BILD .",669523.jpg,Wolfsburg,1
"BREAKING NEWS : Wolfsburg youngster Junior Malanda has died in a car accident , according to BILD .",669523.jpg,Junior Malanda,0
"BREAKING NEWS : Wolfsburg youngster Junior Malanda has died in a car accident , according to BILD .",669523.jpg,BILD,1
"RT @ zgarrison3 : @ ukghosthunting The Elixir Of Youth According to Herman Klein , it was taken in 1898 : )",659252.jpg,The Elixir Of Youth,1
"RT @ zgarrison3 : @ ukghosthunting The Elixir Of Youth According to Herman Klein , it was taken in 1898 : )",659252.jpg,Herman Klein,1
One week to go until our visit to the Australian Embassy in Indonesia for morning tea with the Ambassador .,130789.jpg,Indonesia,1
RT @ BobBuckhorn : U of Tampa opens new lacrosse stadium . Generous donation from Vince Namoli made it happen .,70471.jpg,U of Tampa,2
RT @ BobBuckhorn : U of Tampa opens new lacrosse stadium . Generous donation from Vince Namoli made it happen .,70471.jpg,Vince Namoli,2
"@ harunmaruf : Outside # BuloMarer , AMISOM commander Gen . Dick Olum finds a souvenir after al # shabab were overwhelmed !",1009286.jpg,AMISOM,1
"@ harunmaruf : Outside # BuloMarer , AMISOM commander Gen . Dick Olum finds a souvenir after al # shabab were overwhelmed !",1009286.jpg,Gen,1
"@ harunmaruf : Outside # BuloMarer , AMISOM commander Gen . Dick Olum finds a souvenir after al # shabab were overwhelmed !",1009286.jpg,Dick Olum,1
RT @ buziosglobalusa : # Christmas in # Tokyo Station # HappyHolidays,500370.jpg,# Christmas,2
RT @ buziosglobalusa : # Christmas in # Tokyo Station # HappyHolidays,500370.jpg,# Tokyo Station,2
So sorry to hear about Jarrod Parker and Kris Medlen needing # TommyJohn again . Great pitchers .,886689.jpg,Jarrod Parker,0
So sorry to hear about Jarrod Parker and Kris Medlen needing # TommyJohn again . Great pitchers .,886689.jpg,Kris Medlen,0
RT @ InsideHoops : DeAndre Jordan update :,480117.jpg,DeAndre Jordan,1
Honored to be here in LA @ jworldwatch IWitness Award given to Intel 4 commitment to only use conflict free minerals,13680.jpg,LA,2
Honored to be here in LA @ jworldwatch IWitness Award given to Intel 4 commitment to only use conflict free minerals,13680.jpg,Intel 4,2
Second awesome event of the day : Open Schools Kenya launch @ GroundTruthIn @ DGateway @ OpenGovHub,1717237.jpg,Kenya,2
RT @ favecrushes : Aaron Johnson before and after,1787734.jpg,Aaron Johnson,1
RT @ MarinaConcert : Marina meeting diamonds after the show tonight ! ! !,65352.jpg,Marina,2
# Cancer patient Michael Gabriel and family pose with @ NdamukongSuh for the # GameOnCancer fundraising campaign .,557517.jpg,Michael Gabriel,1
RT @ THEMAZElSACODE : RT if Newt is your favorite character in The Maze Runner trilogy !,515898.jpg,Newt,2
"This is where Abe Lincoln was not only born , but raised . Amy Schumer at Lincoln Center",2077969.jpg,Abe,1
"This is where Abe Lincoln was not only born , but raised . Amy Schumer at Lincoln Center",2077969.jpg,Lincoln,1
"This is where Abe Lincoln was not only born , but raised . Amy Schumer at Lincoln Center",2077969.jpg,Amy Schumer,1
"This is where Abe Lincoln was not only born , but raised . Amy Schumer at Lincoln Center",2077969.jpg,Lincoln Center,1
RT @ 1D Beards : Real life Peter Pan ? I think so . - Blaze,1908966.jpg,Peter Pan,1
RT @ chicagotribune : Update : FAA says no planes in U . S . destined to cross Midwest can depart until at least 10 a . m . h,73134.jpg,FAA,0
RT @ chicagotribune : Update : FAA says no planes in U . S . destined to cross Midwest can depart until at least 10 a . m . h,73134.jpg,Midwest,1
"RT @ EarthBeauties : San Francisco , California",525824.jpg,San Francisco,1
"RT @ EarthBeauties : San Francisco , California",525824.jpg,California,1
RT @ ABCFpll : RT if you would want Ezra to bring you pie ! # FatalFinale,127300.jpg,Ezra,1
10 Tips for Better Smartphone Photography from EyeEm Founder Flo Meissner,116790.jpg,EyeEm,1
10 Tips for Better Smartphone Photography from EyeEm Founder Flo Meissner,116790.jpg,Flo Meissner,1
"RT @ lindsapple : In two years , Bryce Harper has aged 10 years and also become the Hulk .",1831392.jpg,Bryce Harper,2
"RT @ lindsapple : In two years , Bryce Harper has aged 10 years and also become the Hulk .",1831392.jpg,Hulk,1
". @ RoKhannaUSA visited Good Shepherd Community Church today , what a great community in # Milpitas # CA17",703723.jpg,Good Shepherd Community Church,2
". @ RoKhannaUSA visited Good Shepherd Community Church today , what a great community in # Milpitas # CA17",703723.jpg,# Milpitas,1
RT @ Lokatza ZE : @ MikelAristi Seguran garaile . ZORIONAK MIKEL ! ! # BERGARA # TXIRRINDULARITZA,641920.jpg,# BERGARA,1
RT @ JasperBol : Exercising replenishment at sea approaches en route Scotland !,73252.jpg,Scotland,2
RT @ CIothesPorn : USA defender Julie Johnston is perfection,1377967.jpg,USA,1
RT @ CIothesPorn : USA defender Julie Johnston is perfection,1377967.jpg,Julie Johnston,2
"Hmm , my trip to # NewYork this Friday looks quite . . refreshing . Just like going back home to # finland : ) # snow # travel",424585.jpg,# finland,2
RT @ cherylmcnamara : To change everything we need everyone . At Mayday studio in Brooklyn . Artists prep for # PeoplesMarch .,70574.jpg,Brooklyn,1
Arnab at # LiarTimesNow rubbishes everyone who produces a counter opinion ! Unhealthy debates and opinionated agenda !,818604.jpg,Arnab,0
RT @ robindbrant : rifkind statement to the BBC over cash for access claims from daily telegraph channel 4,1767744.jpg,BBC,1
"NEW : Incredibly Quirky Chalk Art Born in the Streets , by David Zinn -",1063211.jpg,Quirky Chalk Art,2
"NEW : Incredibly Quirky Chalk Art Born in the Streets , by David Zinn -",1063211.jpg,David Zinn,1
"Kant thought we all need to have the courage to be wise , as though something is precluding us",1141954.jpg,Kant,1
Bill Walton in a mascot suit on Shark Tank,1062932.jpg,Bill Walton,1
Ahem @ inallthechaos haha : ) RT @ heyitskenn @ FootyHumour Where it all went wrong for Spain,1005869.jpg,Spain,2
"Children were part of history in # Selma , 1965 : # OccupySELMA",1042378.jpg,# Selma,1
Need a # DataLake Foundation ? We can help,111515.jpg,# DataLake Foundation,1
"RT @ FemalePains : Kris still trying to find those 75 , 000 earrings that Kim lost in the ocean",807130.jpg,Kris,1
"RT @ FemalePains : Kris still trying to find those 75 , 000 earrings that Kim lost in the ocean",807130.jpg,Kim,0
RT @ KardashianReact : John loves his wife so he holds her hand . Kanye loves Kanye so he holds Kanye hand .,450320.jpg,John,1
RT @ KardashianReact : John loves his wife so he holds her hand . Kanye loves Kanye so he holds Kanye hand .,450320.jpg,Kanye,1
RT @ KardashianReact : John loves his wife so he holds her hand . Kanye loves Kanye so he holds Kanye hand .,450320.jpg,Kanye,2
RT @ KardashianReact : John loves his wife so he holds her hand . Kanye loves Kanye so he holds Kanye hand .,450320.jpg,Kanye,2
RT @ bloemhof54 : There are always flowers for those who want to see them . - Henri Matisse,872892.jpg,Henri Matisse,1
"RT @ shaunwalker7 : Lord , Dom Knigi has an entire section of mad books about Ukraine",23390.jpg,Dom Knigi,1
"RT @ shaunwalker7 : Lord , Dom Knigi has an entire section of mad books about Ukraine",23390.jpg,Ukraine,0
RT @ SoonerScoop : # Sooners latest commitment CB Parrish Cobb ( @ pcthedb4 ) of Waco La Vega before his first scrimmage of the year .,74684.jpg,Waco La Vega,1
RT @ ksatnews : SAFD : People trapped in elevator at Tower of the Americas # KSATnews,20107.jpg,Tower of the Americas,0
RT @ washingtonpost : Human safaris in the Amazon basin may put uncontacted tribes at risk,7865.jpg,Amazon basin,1
First day of school in Chicago and at Cameron Elementary . This kindergartener wasn ' t impressed by the mayoral visit,70395.jpg,Chicago,1
First day of school in Chicago and at Cameron Elementary . This kindergartener wasn ' t impressed by the mayoral visit,70395.jpg,Cameron Elementary,0
"Currency is participation and social engagement . RT @ LesaUkman IEG : Adam Garrone speaking at # IEG2013 , @ Movember",116551.jpg,Adam Garrone,1
RT @ ThisIsRobThomas : A Message from Mari https : t . co erjtQifL80,1765264.jpg,Mari,2
Join us today at 9am amp 11am as Pastor Keith brings a powerful message on how God has created you to change the game !,92180.jpg,Keith,2
Resolved : Takis Fuego are the best snack food on the market .,875874.jpg,Takis Fuego,2
RT @ Luke5SOS : Mario and Luigi dominated the dance floor as per usual,254182.jpg,Mario,2
RT @ Luke5SOS : Mario and Luigi dominated the dance floor as per usual,254182.jpg,Luigi,2
"CPD officer injured after vehicle flips at Ashland Montrose . Intersection closed , avoid",73093.jpg,CPD,0
RT @ ZaibatsuPlanet : Pink Morning by Zermie # photo,480647.jpg,Zermie,1
RT @ timring3TV : Meet Coyotes high - level prospect Anthony Duclair tonight at 6 : 25 on @ 3TVSports,423017.jpg,Coyotes,1
RT @ timring3TV : Meet Coyotes high - level prospect Anthony Duclair tonight at 6 : 25 on @ 3TVSports,423017.jpg,Anthony Duclair,1
My view at breakfast today . Breckinridge .,478533.jpg,Breckinridge,1
Oris expands Calibre 110 collection with new Calibre 111 RT @ elevenjames,116290.jpg,Oris,1
Oris expands Calibre 110 collection with new Calibre 111 RT @ elevenjames,116290.jpg,Calibre 110,1
Oris expands Calibre 110 collection with new Calibre 111 RT @ elevenjames,116290.jpg,Calibre 111,1
Contact Congress to outlaw puppy mills in 2015 . @ ALDF has taken the lead please RT,128023.jpg,Congress,1
Broomfield family says Keith left a good job w family business and was aware of dangers fighting ISIS # FOX25,41899.jpg,Broomfield,1
Broomfield family says Keith left a good job w family business and was aware of dangers fighting ISIS # FOX25,41899.jpg,Keith,2
Broomfield family says Keith left a good job w family business and was aware of dangers fighting ISIS # FOX25,41899.jpg,ISIS,0
William Hague,550071.jpg,William Hague,2
RT @ ermnarry : Retweet if they are your source of happiness # Vote1D # KCA,926460.jpg,# KCA,1
Free drinks ? Magic ! Register your Starbucks Card amp start earning the way to Gold : # goforgold,506192.jpg,Starbucks Card,2
RT @ PaulHeggenWSMV : Tornado Warning for Wilson county . Rotation just south of Lebanon .,384951.jpg,Wilson,0
RT @ PaulHeggenWSMV : Tornado Warning for Wilson county . Rotation just south of Lebanon .,384951.jpg,Lebanon,0
"Visiting Taal Volcano , The Philippines via @ michaelturtle # ttot # travel # volcano",812074.jpg,Taal Volcano,1
"Visiting Taal Volcano , The Philippines via @ michaelturtle # ttot # travel # volcano",812074.jpg,Philippines,1
"Ladies and gentlemen , I present Goldman Sachs -",822293.jpg,Goldman Sachs,0
Single vehicle crash into light pole closes Gilbert intersection .,421295.jpg,Gilbert,0
"RT @ Inspiredneuron : When I let go of what I have , I receive what I need - Lao Tzu",240616.jpg,Lao Tzu,1
Thanks # CVCC for # Hagerstown bike tour,481201.jpg,# CVCC,2
Thanks # CVCC for # Hagerstown bike tour,481201.jpg,# Hagerstown,2
RT @ MuggleNet : Wishing Dame Maggie Smith a very Happy Birthday today ! # HappyBirthdayMaggieSmith,146252.jpg,Dame Maggie Smith,2
RT @ LDN : Paris last night # CharlieHebdo,49622.jpg,Paris,2
RT @ TheBeautifulCar : Galaxy Ferrari,14665.jpg,Galaxy Ferrari,2
RT @ WillHillBet : The Barcelona fans gave Xavi a nice send off . # 6raciesXavi # LaLiga,90078.jpg,Barcelona,2
RT @ WillHillBet : The Barcelona fans gave Xavi a nice send off . # 6raciesXavi # LaLiga,90078.jpg,Xavi,2
RT @ T twitt : Raquel Welch amp Julie Christie,93184.jpg,Raquel Welch,2
RT @ T twitt : Raquel Welch amp Julie Christie,93184.jpg,Julie Christie,2
# One2watch Jakub Krako already won 3 # Paralympic medals ! RT if you think he can add some more # Road2Sochi,699969.jpg,Jakub Krako,2
# One2watch Jakub Krako already won 3 # Paralympic medals ! RT if you think he can add some more # Road2Sochi,699969.jpg,# Paralympic,1
Flying Dutschman by Richard Wagner at the ancient Roman theatre of Athens,29896.jpg,Flying Dutschman,1
Flying Dutschman by Richard Wagner at the ancient Roman theatre of Athens,29896.jpg,Richard Wagner,1
Flying Dutschman by Richard Wagner at the ancient Roman theatre of Athens,29896.jpg,Roman,1
Flying Dutschman by Richard Wagner at the ancient Roman theatre of Athens,29896.jpg,Athens,1
"RT @ BostonDotCom : 40 years ago today , Boston schools were ordered to desegregate",33908.jpg,Boston,1
"Walking home from school over blood stains in Gresham , hours after a man died . # NextDayChi 10 :",71471.jpg,Gresham,0
RT @ Rotorfocus : The Danish Air Force is trying out the SABIR pylon on its C - 130Js turning it into a multi - mission platform .,72618.jpg,Danish Air Force,1
RT @ Rotorfocus : The Danish Air Force is trying out the SABIR pylon on its C - 130Js turning it into a multi - mission platform .,72618.jpg,C - 130Js,1
NYC : this Wed nite 7 . 23 - spinning an all - James Brown set before this free film screening at St . Nicholas Park .,94015.jpg,NYC,1
"RT @ Welcome us : . @ Chirlane McCray , wife of NYC Mayor Bill De Blasio , has Bajan Ghanian ancestry ! # IHM2015",605818.jpg,NYC,1
"RT @ Welcome us : . @ Chirlane McCray , wife of NYC Mayor Bill De Blasio , has Bajan Ghanian ancestry ! # IHM2015",605818.jpg,Mayor Bill De Blasio,2
"RT @ Welcome us : . @ Chirlane McCray , wife of NYC Mayor Bill De Blasio , has Bajan Ghanian ancestry ! # IHM2015",605818.jpg,Bajan,2
"RT @ Welcome us : . @ Chirlane McCray , wife of NYC Mayor Bill De Blasio , has Bajan Ghanian ancestry ! # IHM2015",605818.jpg,Ghanian,2
Preparing the sand at Hayes Beach for Memorial Day weekend . Chicago beaches open Saturday !,73853.jpg,Hayes Beach,1
Preparing the sand at Hayes Beach for Memorial Day weekend . Chicago beaches open Saturday !,73853.jpg,Memorial Day,1
Preparing the sand at Hayes Beach for Memorial Day weekend . Chicago beaches open Saturday !,73853.jpg,Chicago,1
RT @ ShitBsbPlyrsSay : The Cardinals made the rookies go get Coffee,74167.jpg,Cardinals,1
RT @ AjaySharmaFCO : Delighted to be back in Tehran and that the Embassy has reopened . # UK # Iran,1779633.jpg,Tehran,2
RT @ AjaySharmaFCO : Delighted to be back in Tehran and that the Embassy has reopened . # UK # Iran,1779633.jpg,# UK,1
RT @ AjaySharmaFCO : Delighted to be back in Tehran and that the Embassy has reopened . # UK # Iran,1779633.jpg,# Iran,1
RT @ StephanieArts : My drawing of @ LaurenSocha as Kelly Bailey . Hope you like it ! # Misfits # misstheshow,1084327.jpg,Kelly Bailey,1
RT @ StephanieArts : My drawing of @ LaurenSocha as Kelly Bailey . Hope you like it ! # Misfits # misstheshow,1084327.jpg,# Misfits,1
RT @ 1DInfectionMNL : Zayn from January 2014 to December 2014 # 14MomentsOfZayn,1719707.jpg,Zayn,1
RT @ CHANBAEKUNION : VOTE FOR BAEKHYUN AS CHANYEOL FANCLUB PRESIDENT . HAHAHAHHAA : D ( cr . garcon ),653235.jpg,CHANYEOL FANCLUB,2
"Great run today in White River National Forest in Glenwood Springs , CO .",478494.jpg,White River National Forest,2
"Great run today in White River National Forest in Glenwood Springs , CO .",478494.jpg,Glenwood Springs,1
Expressive portraits of people from all walks of life by Jonathan Willis,1993706.jpg,Jonathan Willis,1
RT @ DierksBentley : CHICAGO : You lit it up tonight ! # SoldierField,523563.jpg,CHICAGO,1
RT @ iArunJ : Interesting piece by @ Sportingabhi : Eng v India : stats suggest Fletcher should go,728939.jpg,India,1
RT @ iArunJ : Interesting piece by @ Sportingabhi : Eng v India : stats suggest Fletcher should go,728939.jpg,Fletcher,1
Google Updates AdWords Keyword Qual . . . # google # SEO # Socialmedia,841659.jpg,Google,1
Google Updates AdWords Keyword Qual . . . # google # SEO # Socialmedia,841659.jpg,AdWords,1
Google Updates AdWords Keyword Qual . . . # google # SEO # Socialmedia,841659.jpg,# google,1
RT @ l elwood : Graham Pullen shares the importance of partnerships at # OTEW2014 # tl,734179.jpg,Graham Pullen,1
RT @ FRANCE24 : New documents shed light on Srebrenica failings 20 years on,12849.jpg,Srebrenica,0
RT @ TheOnion : CIA Admits Role In 1985 Coup To Oust David Lee Roth,34586.jpg,CIA,0
RT @ TheOnion : CIA Admits Role In 1985 Coup To Oust David Lee Roth,34586.jpg,David Lee Roth,1
RT @ SteveMariucci : Gettin ready for the Draft at Raos - - NYC ! !,583416.jpg,NYC,2
RT @ nytimes : How Greece is worse off than the U . S . in the Great Depression,48509.jpg,Greece,0
RT @ nytimes : How Greece is worse off than the U . S . in the Great Depression,48509.jpg,Great Depression,0
Man Made Frozen Waterfall from Hot Water Tap Left on all Winter # Crazy # Bizarre # China,209240.jpg,# China,1
Awesome weather at Laguna Beach !,1767740.jpg,Laguna Beach,2
# Bears quarterbacks Jimmy Clausen and Jay Cutler take the field to face the Niners in SF,73226.jpg,# Bears,2
# Bears quarterbacks Jimmy Clausen and Jay Cutler take the field to face the Niners in SF,73226.jpg,Jimmy Clausen,2
# Bears quarterbacks Jimmy Clausen and Jay Cutler take the field to face the Niners in SF,73226.jpg,Jay Cutler,2
# Bears quarterbacks Jimmy Clausen and Jay Cutler take the field to face the Niners in SF,73226.jpg,Niners,1
Kirk Hinrich gets the gameplan : more pictures # Bulls,73085.jpg,Kirk Hinrich,1
Kirk Hinrich gets the gameplan : more pictures # Bulls,73085.jpg,# Bulls,1
RT @ ImitationGame : The LGBT community acknowledges Alan Turing as a true hero . # ImitationGame,240939.jpg,The LGBT community,1
RT @ ImitationGame : The LGBT community acknowledges Alan Turing as a true hero . # ImitationGame,240939.jpg,Alan Turing,2
"5 years ago today I was in Daley Plaza on the Picasso , barely ready for the first ballot # chicago2016 # backthebid",73052.jpg,Daley Plaza,1
"5 years ago today I was in Daley Plaza on the Picasso , barely ready for the first ballot # chicago2016 # backthebid",73052.jpg,Picasso,1
# 1WTC on the front page of @ chicagotribune today . Photos and Blair Kamin review :,72904.jpg,# 1WTC,1
# 1WTC on the front page of @ chicagotribune today . Photos and Blair Kamin review :,72904.jpg,Blair Kamin,1
RT @ HuffPostSports : Legendary NBA dunker Darryl Dawkins dead at 58,159708.jpg,NBA,1
RT @ HuffPostSports : Legendary NBA dunker Darryl Dawkins dead at 58,159708.jpg,Darryl Dawkins,0
RT @ Ahmed91Gooner : Koscielny is back . ( Via @ Stuart PhotoAFC ),1444667.jpg,Koscielny,2
RT @ PietBrouwerET : Follow our progress on Acta Orion via a live webcam,72145.jpg,Acta Orion,1
RT @ AngrygirLcomics : This is a great pic of Benedict Cumberbatch,2014884.jpg,Benedict Cumberbatch,1
RT @ 5SOSPHTeam : 5SOS is going to be on Ellen . Here are the channels and their schedules .,1942382.jpg,5SOS,1
RT @ 5SOSPHTeam : 5SOS is going to be on Ellen . Here are the channels and their schedules .,1942382.jpg,Ellen,1
Top 10 Buildings for Luxury Living in NYC,116293.jpg,NYC,1
RT @ girlposts : I still miss this Disney channel though,15883.jpg,Disney channel,2
RT @ LittleMix : Hurry up Leigh ! ! ! ! We got a meeting soon ! Xx,444038.jpg,Leigh,2
"RT @ allkpop : 2013 revenue from SM , YG , and JYP Entertainment revealed",7498.jpg,SM,1
"RT @ allkpop : 2013 revenue from SM , YG , and JYP Entertainment revealed",7498.jpg,YG,1
"RT @ allkpop : 2013 revenue from SM , YG , and JYP Entertainment revealed",7498.jpg,JYP,1
RT @ nflnetwork : Up Next - A Football Life : Ricky Williams . STREAM :,319676.jpg,Ricky Williams,1
RT @ SuicideGirls : Zad Suicide is a photographer from Brazil ! Learn more about this babe at,1087217.jpg,Zad Suicide,1
RT @ SuicideGirls : Zad Suicide is a photographer from Brazil ! Learn more about this babe at,1087217.jpg,Brazil,1
RT @ TVGuide : Check out a first look at Tom Cavanagh as Reverse Flash ! # TheFlash,319246.jpg,Tom Cavanagh,2
RT @ TVGuide : Check out a first look at Tom Cavanagh as Reverse Flash ! # TheFlash,319246.jpg,Reverse Flash,2
Jillian enjoys a birthday bath - - and a blue snout . Join us this weekend : Photo by Sandi Wong,1285253.jpg,Jillian,2
Jillian enjoys a birthday bath - - and a blue snout . Join us this weekend : Photo by Sandi Wong,1285253.jpg,Sandi Wong,1
"@ NationalZoo # PandaCam2 Depressed by the shutdown , Lucy the Panda started off her morning with a large glass of wine",547370.jpg,Lucy,0
"This beautiful RL bag is in Macau , China .",136920.jpg,Macau,1
"This beautiful RL bag is in Macau , China .",136920.jpg,China,1
RT @ voxdotcom : The 4 key things Rolling Stone did wrong on its UVA story,46037.jpg,Rolling Stone,0
RT @ voxdotcom : The 4 key things Rolling Stone did wrong on its UVA story,46037.jpg,UVA,1
"River City FOP blasts sensationalists , liars and race - baiters , saying We are done with you . # Louisville",552214.jpg,River City FOP,1
"River City FOP blasts sensationalists , liars and race - baiters , saying We are done with you . # Louisville",552214.jpg,# Louisville,1
# newUScitizen @ USCIS @ USCIS es # america # FourthofJuly,440398.jpg,# america,1
Robert Stadman over open innovatie in partnerships .,93160.jpg,Robert Stadman,1
RT @ ManchesterFarmQ : Everybody loves @ Bigbadchef including Morgan Freeman @ # biggayms @ citygrit,470112.jpg,Morgan Freeman,2
